,French,English
0,je,I
1,de,of
2,est,East
3,pas,not
4,le,the
5,vous,you
6,la,the
7,tu,you
8,que,than
9,un,a
10,il,he
11,et,and
12,à,at
13,a,at
14,ne,born
15,les,the
16,ce,this
17,en,in
18,on,we
19,ça,it
20,une,a
21,ai,have
22,pour,for
23,des,of the
24,moi,me
25,qui,who
26,nous,we
27,y,there
28,mais,But
29,me,me
30,dans,in
31,du,of
32,bien,good
33,si,if
34,tout,all
35,plus,more
36,non,no
37,mon,my
38,suis,am
39,te,you
40,au,at
41,avec,with
42,va,go
43,oui,Yes
44,toi,you
45,fait,made
46,ils,they
47,as,ace
48,être,be
49,faire,make
50,se,himself
51,comme,as
52,était,was
53,sur,sure
54,quoi,what
55,ici,here
56,sais,know
57,lui,him
58,veux,want
59,ma,my
60,là,the
61,rien,nothing
62,dit,said
63,es,es
64,où,or
65,votre,your
66,pourquoi,Why
67,sont,are
68,cette,this
69,quand,when
70,par,by
71,son,his
72,ton,your
73,peux,can
74,vais,am going to
75,dire,say
76,alors,so
77,comment,How? 'Or' What
78,avez,have
79,bon,Well
80,ou,or
81,très,very
82,merci,thank you
83,ont,have
84,même,even
85,jamais,never
86,aussi,too
87,voir,see
88,chose,thing
89,allez,going
90,tous,all
91,deux,of them
92,ces,these
93,faut,should
94,êtes,are
95,été,summer
96,ta,your
97,fais,do
